Date,ProductInfo,DaySession,NightSession,ExchangeTimezone
20010101,AP.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,CF.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,CJ.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,CY.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,ER.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,FG.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,JR.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,LR.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,MA.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,ME.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,OI.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,PF.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,PK.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,PM.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,RI.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,RM.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,RO.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,RS.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,SA.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,SF.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,SM.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,SR.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,TA.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,TC.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,UR.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,WH.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,WS.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,WT.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,ZC.CZCE,090000-101500&103000-113000&133000-150000,,210
20010101,a.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,b.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,bb.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,c.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,cs.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,eb.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,eg.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,fb.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,i.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,j.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,jd.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,jm.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,l.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,lh.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,m.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,p.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,pg.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,pp.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,rr.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,v.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,y.DCE,090000-101500&103000-113000&133000-150000,,210
20010101,ag.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,al.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,au.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,bu.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,cu.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,fu.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,hc.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,ni.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,pb.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,rb.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,ru.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,sn.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,sp.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,ss.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,wr.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,zn.SHFE,090000-101500&103000-113000&133000-150000,,210
20010101,lu.INE,090000-101500&103000-113000&133000-150000,,210
20010101,nr.INE,090000-101500&103000-113000&133000-150000,,210
20010101,sc.INE,090000-101500&103000-113000&133000-150000,,210
20010101,IC.CFFEX,093000-113000&130000-150000,,210
20010101,IF.CFFEX,093000-113000&130000-150000,,210
20010101,IH.CFFEX,093000-113000&130000-150000,,210
20010101,T.CFFEX,093000-113000&130000-150000,,210
20010101,TF.CFFEX,093000-113000&130000-150000,,210
20010101,TS.CFFEX,093000-113000&130000-150000,,210
20010101,6A.CME,000000-235959,,210
20010101,6B.CME,000000-235959,,210
20010101,6C.CME,000000-235959,,210
20010101,6E.CME,000000-235959,,210
20010101,6J.CME,000000-235959,,210
20010101,6M.CME,000000-235959,,210
20010101,6S.CME,000000-235959,,210
20010101,BZ.CME,000000-235959,,210
20010101,CL.CME,000000-235959,,210
20010101,CNH.CME,000000-235959,,210
20010101,ES.CME,000000-235959,,210
20010101,GC.CME,000000-235959,,210
20010101,HG.CME,000000-235959,,210
20010101,HO.CME,000000-235959,,210
20010101,NG.CME,000000-235959,,210
20010101,NQ.CME,000000-235959,,210
20010101,PA.CME,000000-235959,,210
20010101,PL.CME,000000-235959,,210
20010101,RB.CME,000000-235959,,210
20010101,SI.CME,000000-235959,,210
20010101,SP.CME,000000-235959,,210
20010101,YM.CME_CBT,000000-235959,,210
20010101,ZC.CME_CBT,000000-235959,,210
20010101,ZL.CME_CBT,000000-235959,,210
20010101,ZM.CME_CBT,000000-235959,,210
20010101,ZO.CME_CBT,000000-235959,,210
20010101,ZS.CME_CBT,000000-235959,,210
20010101,ZW.CME_CBT,000000-235959,,210
20010101,BRN.ICE,000000-235959,,210
20010101,AH3M.LME,000000-235959,,210
20010101,CA3M.LME,000000-235959,,210
20010101,L-ZS3M.LME,000000-235959,,210
20010101,NI3M.LME,000000-235959,,210
20010101,PB3M.LME,000000-235959,,210
20010101,SN3M.LME,000000-235959,,210
20010101,IN.SGXQ,000000-235959,,210
